link,type
https://arxiv.org/pdf/2108.08262,pdf
https://cdn.vector.com/cms/content/events/2019/VH/VIC2019/Track_1_5_Glancing_Ethernet_communication_for_Automotive_4.pdf,pdf
https://cdn.vector.com/cms/content/know-how/_application-notes/AN-IND-1-025_Ethernet_SOMEIP_Replay.pdf,pdf
https://giorio94.github.io/papers/01-SecureSOMEIP-VTM.pdf,pdf
https://giorio94.github.io/papers/03-SecureSOMEIP-TVT.pdf,pdf
https://nicolas.navet.eu/publi/Some-IP-SAE2015-preprints.pdf,pdf
https://some-ip.com/papers/2020-12_Nikkei-Japan_final.pdf,pdf
https://some-ip.com/papers/cache/AUTOSAR_TR_SomeIpExample_4.1.1.pdf,pdf
https://webthesis.biblio.polito.it/secure/9054/1/Tesi.pdf,pdf
https://webthesis.biblio.polito.it/secure/9054/1/Tesi.pdf,pdf
https://www.autosar.org/fileadmin/standards/R20-11/CP/AUTOSAR_SWS_SOMEIPTransportProtocol.pdf,pdf
https://www.autosar.org/fileadmin/standards/R21-11/CP/AUTOSAR_SWS_SOMEIPTransformer.pdf,pdf
https://www.iqpc.com/media/9048/29408.pdf,pdf
https://arxiv.org/pdf/2108.08262,url
https://de.wikipedia.org/wiki/Scalable_Service-Oriented_Middleware_over_IP,url
https://dl.acm.org/doi/10.1145/3465481.3465748,url
https://forums.ni.com/t5/LabVIEW-Automotive-Ethernet/SOME-IP-Client-Server-Examples/td-p/3702326,url
https://fr.slideshare.net/slideshow/insights-on-the-configuration-and-performances-of-someip-service-discovery/70768362,url
https://fr.slideshare.net/slideshow/someipprotocolpptx/256130586,url
https://github.com/MicrochipTech/some-ip/blob/master/vsomeip/documentation/vsomeipUserGuide,url
https://gitlab.com/digitalwerk/solutions/adtf_content/adtf_toolboxes/adtf_device_toolbox/-/issues/668,url
https://group.mercedes-benz.com/company/mercedes-benz-ip/,url
https://ieeexplore.ieee.org/document/9085373,url
https://intrepidcs.com/event/some-ip-in-person-training-2/,url
https://intrepidcs.com/introduction-to-some-ip-in-automotive-autosar-using-raspberry-pi-4/,url
https://jobs.mercedes-benz.com/en/senior-test-engineer-for-body-electronic-functions-standard-software-validation-83516-MER0002SKA,url
https://p-mishra2905.medium.com/some-ip-scalable-service-oriented-middleware-over-ip-in-automotive-autosar-4bc0b3dbc1e7,url
https://saemobilus.sae.org/articles/insights-configuration-performances-ip-service-discovery-2015-01-0197,url
https://some-ip.com/,url
https://some-ip.com/papers.shtml,url
https://stackoverflow.com/questions/51182471/whats-the-difference-between-dds-and-some-ip,url
https://www.cloudflare.com/learning/network-layer/internet-protocol/,url
https://www.embien.com/automotive-insights/some-ip-protocol-communication-a-comprehensive-guide,url
https://www.embitel.com/blog/embedded-blog/some-ip-gateway-to-future-vehicle-networking-system,url
https://www.engineersgarage.com/some-ip-protocol/,url
https://www.lembarque.com/article/automobile-vector-lance-les-premiers-commutateurs-ethernet-embarques-compatibles-autosar,url
https://www.linkedin.com/posts/ananda-krishnan-571b6b12_someip-header-format-message-id-message-activity-7099733192961638400-FAjM/,url
https://www.slideshare.net/slideshow/someipprotocolpptx/256130586,url
https://www.usatoday.com/tech/internet/what-is-a-good-internet-speed/,url
https://dl.acm.org/doi/fullHtml/10.1145/3465481.3465748,url 
https://some-ip.com/standards.shtml,url 
